title,links,first_paragraph
"It’s Holiday Party Season at the White House. Masks Are Encouraged, but Not Required.",https://www.nytimes.com/2020/12/01/us/politics/white-house-holiday-parties.html?searchResultPosition=1,"The red and gold party invitations make no mention of the coronavirus, nor do they acknowledge the holiday message that public health officials have been trying to emphasize to Americans: Stay home."
"Trump’s virus czar resigned, drawing cheers from health officials who say his ideas are dangerous.",https://www.nytimes.com/2020/12/01/us/politics/trumps-virus-czar-resigned-drawing-cheers-from-health-officials-who-say-his-ideas-are-dangerous.html?searchResultPosition=2,"President Trump’s coronavirus czar, Dr. Scott W. Atlas, who has had a leading role in the White House’s efforts to play down the virus and politicize efforts to curb its spread, resigned on Monday from a position that was set to expire this week."
‘Everything Is on the Table’ as Hospitals Fill in California,https://www.nytimes.com/2020/12/01/us/ca-covid-cases.html?searchResultPosition=3,Good morning.
Biden’s team is planning a pared-down inauguration that keeps spectators ‘healthy and safe.’,https://www.nytimes.com/2020/12/01/us/politics/bidens-team-is-planning-a-pared-down-inauguration-that-keeps-spectators-healthy-and-safe.html?searchResultPosition=4,"The stage being built on the West Front of the Capitol can hold 1,600 spectators for a close-up view of President-elect Joseph R. Biden Jr. as he takes the oath of office. The reviewing stand under construction in front of the White House will be ready for the inaugural parade and thousands of cheering onlookers as the marchers pass by. And the National Mall is prepared to accommodate many more."
"Weeks Late, Biden Gets His Briefings",https://www.nytimes.com/2020/12/01/us/politics/biden-intelligence-briefings.html?searchResultPosition=5,"No matter who wins in Georgia, Joe Manchin has no intention of endorsing a sharp shift to the left. And his vote could matter a lot. It’s Tuesday, and this is your politics tip sheet. Sign up here to get On Politics in your inbox every weekday."
Biden Faces a Balancing Act in Choosing Top Aides With Business Ties,https://www.nytimes.com/2020/12/01/us/politics/biden-staff-business-zients.html?searchResultPosition=6,"Five years ago, Jeffrey D. Zients was the head of the Obama administration’s National Economic Council, working to push across the finish line a federal rule that would prevent financial advisers from taking advantage of retirees. He won praise from progressives for fending off fierce resistance from Wall Street and for fighting for consumer protections."
"The C.D.C. discusses who should get vaccinated first, but the decision will fall to states.",https://www.nytimes.com/2020/12/01/us/the-cdc-discusses-who-should-get-vaccinated-first-but-the-decision-will-fall-to-states.html?searchResultPosition=7,"A Centers for Disease Control and Prevention advisory committee is meeting on Tuesday afternoon to decide what its advice will be about who should get access to Covid-19 vaccines first. But much like its recommendations about masks and travel restrictions, the C.D.C.’s guidance about vaccine distribution will only inform states, which will ultimately need to devise their own plans."
Los Angeles Reverses Decision to Close Virus Testing Site for a Film Shoot,https://www.nytimes.com/2020/12/01/us/virus-testing-Union-Station-Los-Angeles.html?searchResultPosition=8,"The mayor of Los Angeles, Eric Garcetti, said early Tuesday that the city would reopen a coronavirus testing site at Union Station, a major transit hub, after residents criticized a decision to temporarily close the site during a film shoot. "
"Scott Atlas, a Trump Coronavirus Adviser, Resigns",https://www.nytimes.com/2020/11/30/us/politics/scott-atlas-trump-coronavirus-adviser-resigns.html?searchResultPosition=9,"Dr. Scott W. Atlas, the former Stanford University radiologist who espoused controversial theories and rankled government scientists while advising President Trump on the coronavirus pandemic, resigned his White House position on Monday."
"Dr. Atlas, Trump’s coronavirus adviser, resigns.",https://www.nytimes.com/2020/11/30/us/dr-atlas-trumps-coronavirus-adviser-resigns.html?searchResultPosition=10,"Dr. Scott W. Atlas, the former Stanford University radiologist who espoused disputed theories and rankled government scientists while advising President Trump on the pandemic, has resigned his White House position, according to a senior government official."
